paper_id,model,protocol,inputs,accuracy_percent,macro_f1_percent,kappa,group,source_sheet,source_row,source_url,caveat,verification,comparable_to_local
P02,DeepSleepNet,EDF-20; subject-wise CV,EEG,82,76.9,0.76,Small Sleep-EDF protocols,EDF_کوچک,5,https://arxiv.org/abs/1703.04046,Fpz-Cz; ±30 min wake window,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P04,SleepEEGNet,EDF-2013/20; 20-fold CV,EEG,84.26,79.66,0.79,Small Sleep-EDF protocols,EDF_کوچک,6,https://arxiv.org/html/1903.02108v1,Fpz-Cz; original Table IV,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P05,IITNet L=10,SleepEDF small cohort,EEG,83.9,77.6,0.78,Small Sleep-EDF protocols,EDF_کوچک,7,https://arxiv.org/abs/1902.06562,Abstract best sequence length L=10,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P06,U-Time,EDF-39; 20-fold CV,EEG,,79,,Small Sleep-EDF protocols,EDF_کوچک,8,https://arxiv.org/html/1910.11162v1,Global mean of class F1; rounded to 2 decimals in original paper,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P07,TinySleepNet,EDF-20,EEG,85.4,80.5,0.8,Small Sleep-EDF protocols,EDF_کوچک,9,https://arxiv.org/pdf/2108.10600,Reported baseline in SalientSleepNet Table 1 / DeepSleepNet-Lite Table VIII,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P08,AttnSleep (single epoch),EDF-20,EEG,84.4,78.1,0.79,Small Sleep-EDF protocols,EDF_کوچک,10,https://personal.ntu.edu.sg/ctguan/Publications/2021_Emad_IEEE_TNSRE.pdf,"Main model, Table V",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P08,AttnSleep (3 epochs),EDF-20,EEG,85.6,80.9,0.8,Small Sleep-EDF protocols,EDF_کوچک,11,https://personal.ntu.edu.sg/ctguan/Publications/2021_Emad_IEEE_TNSRE.pdf,"Three-epoch variant, Table VI",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P09,XSleepNet2,EDF small; ±30 min,EEG + EOG,86.4,80.9,0.813,Small Sleep-EDF protocols,EDF_کوچک,12,https://arxiv.org/pdf/2007.05492,"Two modalities, Table II",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P11,L-SeqSleepNet scratch,EDF-20; LOSO; 5 repetitions,EEG,86.3,79.3,0.813,Small Sleep-EDF protocols,EDF_کوچک,13,https://ar5iv.labs.arxiv.org/html/2301.03441,"Mean across repeated CV experiments, not median across nights",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P11,L-SeqSleepNet + SHHS pretraining,EDF-20; LOSO; 5 repetitions,EEG,88.6,82.9,0.845,Small Sleep-EDF protocols,EDF_کوچک,14,https://ar5iv.labs.arxiv.org/html/2301.03441,External pretraining; not scratch,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P12,SleePyCo author repository,EDF-2013 SC / 20,EEG,86.8,81.2,0.82,Small Sleep-EDF protocols,EDF_کوچک,15,https://github.com/gist-ailab/SleePyCo,Value from official repository; distinguish from expanded EDF paper table,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P13,CatBoost scratch,SC20,EEG + EOG,86,79.7,0.807,Small Sleep-EDF protocols,EDF_کوچک,16,https://arxiv.org/pdf/2207.07753,No EMG; no direct-transfer initialization,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P13,CatBoost direct transfer,SC20,EEG + EOG + EMG,86.6,81,0.816,Small Sleep-EDF protocols,EDF_کوچک,17,https://arxiv.org/pdf/2207.07753,Table 3 DT variant; NOT scratch,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P14,ZleepAnlystNet,EDF-2013/20,EEG,87.02,82.09,0.8221,Small Sleep-EDF protocols,EDF_کوچک,18,https://www.nature.com/articles/s41598-024-60796-y,Fpz-Cz,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P15,DeepSleepNet-Lite,EDF-2013/20; ±30 min,EEG,84,78,0.78,Small Sleep-EDF protocols,EDF_کوچک,19,https://arxiv.org/pdf/2108.10600,All epochs; no uncertainty rejection,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P23,SalientSleepNet,EDF-39; 20-fold cross-subject,EEG + EOG,87.5,83,,Small Sleep-EDF protocols,EDF_کوچک,20,https://www.ijcai.org/proceedings/2021/0360.pdf,Table 1; kappa not reported there,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P25,Regularized SeqSleepNet,EDF-20; LOSO; 5 repetitions,EEG,86.2,79.3,0.811,Small Sleep-EDF protocols,EDF_کوچک,21,https://api.unil.ch/iris/server/api/core/bitstreams/4c6f4de9-d179-4888-8311-a6ce23042f7d/content,Temporal regularization gamma=1e-4,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P30,TransSleep — 2022 preprint,EDF; Fpz-Cz,EEG,86.1,81.7,,Small Sleep-EDF protocols,EDF_کوچک,22,https://arxiv.org/pdf/2203.12590,Preprint Table 2; do not silently substitute final-publication values,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P04,SleepEEGNet,EDF-2018; 10-fold CV,EEG,80.03,73.55,0.73,Expanded Sleep-EDF protocols,EDF_بزرگ,5,https://arxiv.org/html/1903.02108v1,Original Table IV; Fpz-Cz,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P06,U-Time,EDF-153; 10-fold CV,EEG,,76,,Expanded Sleep-EDF protocols,EDF_بزرگ,6,https://arxiv.org/html/1910.11162v1,"Global macro F1, rounded original Table 2",WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P07,TinySleepNet,Expanded Sleep-EDF,EEG,83.1,78.1,0.77,Expanded Sleep-EDF protocols,EDF_بزرگ,7,https://arxiv.org/pdf/2108.10600,Reported baseline: DeepSleepNet-Lite Table VIII,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P08,AttnSleep (single epoch),EDF-78,EEG,81.3,75.1,0.74,Expanded Sleep-EDF protocols,EDF_بزرگ,8,https://personal.ntu.edu.sg/ctguan/Publications/2021_Emad_IEEE_TNSRE.pdf,Main model Table V,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P08,AttnSleep (3 epochs),EDF-78,EEG,82.9,78.1,0.77,Expanded Sleep-EDF protocols,EDF_بزرگ,9,https://personal.ntu.edu.sg/ctguan/Publications/2021_Emad_IEEE_TNSRE.pdf,Three-epoch variant Table VI,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
P09,XSleepNet2,Expanded EDF; ±30 min,EEG + EOG,84,78.7,0.778,Expanded Sleep-EDF protocols,EDF_بزرگ,10,https://arxiv.org/pdf/2007.05492,Two modalities; Table II,WORKBOOK_TRANSCRIPTION_NOT_ROW_VERIFIED,False
