epoch,train_loss,wall_seconds,train_batches,batch_size,train_full_grid_epochs,train_valid_epochs
1,0.5926207312230638,671.875,1702,128,217820,216296
2,0.4796279628184371,660.875,1702,128,217820,216296
3,0.44109921168741695,630.2810000000172,1702,128,217820,216296
4,0.4225378314998399,620.25,1702,128,217820,216296
5,0.4124390483340281,619.8600000000442,1702,128,217820,216296
6,0.4051244791890423,623.3589999999967,1702,128,217820,216296
7,0.39761191135497825,625.3279999999795,1702,128,217820,216296
8,0.3938406820723089,591.9529999999795,1702,128,217820,216296
9,0.3896507959195646,667.3429999999935,1702,128,217820,216296
10,0.38630700373166316,265.93800000002375,1702,128,217820,216296
11,0.3560005264612819,361.89100000000326,1702,128,217820,216296
12,0.3504662696626716,256.625,1702,128,217820,216296
13,0.3472119384695864,264.0929999999935,1702,128,217820,216296
14,0.34537379115329647,402.43699999997625,1702,128,217820,216296
15,0.34311463684719123,354.75,1702,128,217820,216296
16,0.3431937552279367,324.9070000000065,1702,128,217820,216296
17,0.34201315910359525,565.6410000000033,1702,128,217820,216296
18,0.34036364024625404,236.40700000000652,1702,128,217820,216296
19,0.3385947720442059,255.5470000000205,1702,128,217820,216296
20,0.3383525524170222,306.51499999995576,1702,128,217820,216296
21,0.33768600021455036,236.7029999999795,1702,128,217820,216296
22,0.336392964147793,231.78100000001723,1702,128,217820,216296
23,0.33546742972875176,284.43699999997625,1702,128,217820,216296
24,0.3356591777659331,282.03100000001723,1702,128,217820,216296
25,0.3352611019121774,249.10899999999674,1702,128,217820,216296
26,0.3350492026284775,267.125,1702,128,217820,216296
27,0.3331973815531624,305.0929999999935,1702,128,217820,216296
28,0.3328803025107266,265.655999999959,1702,128,217820,216296
29,0.3321911034674398,281.64100000000326,1702,128,217820,216296
30,0.33122846415894575,233.18800000002375,1702,128,217820,216296
31,0.3315566558167601,237.96899999998277,1702,128,217820,216296
32,0.3301032621470377,237.2029999999795,1702,128,217820,216296
33,0.32841011050970376,232.125,1702,128,217820,216296
34,0.32839320522112514,240.96900000004098,1702,128,217820,216296
35,0.3274227015665359,239.82800000003772,1702,128,217820,216296
36,0.32818515597898446,237.86000000004424,1702,128,217820,216296
37,0.3269211832350766,233.56300000002375,1702,128,217820,216296
38,0.3264043498455988,253.375,1702,128,217820,216296
39,0.32611437865065634,240.20300000003772,1702,128,217820,216296
40,0.32396558452874735,250.10899999999674,1702,128,217820,216296
41,0.3250460911248882,249.85999999998603,1702,128,217820,216296
42,0.32399944246655765,232.48399999999674,1702,128,217820,216296
43,0.32408926089663065,228.64000000001397,1702,128,217820,216296
44,0.3227200054779176,231.18800000002375,1702,128,217820,216296
45,0.3225584159989335,231.90599999995902,1702,128,217820,216296
46,0.32182578613804314,226.70300000003772,1702,128,217820,216296
47,0.32194477651535275,230.7970000000205,1702,128,217820,216296
48,0.3214134989803182,241.21899999998277,1702,128,217820,216296
49,0.31990642667026836,233.42199999996228,1702,128,217820,216296
50,0.3201315380746694,235.93800000002375,1702,128,217820,216296
51,0.31968167610685355,234.40600000001723,1702,128,217820,216296
52,0.31891688350785075,231.64000000001397,1702,128,217820,216296
53,0.31864813522607544,231.59400000004098,1702,128,217820,216296
54,0.31758548044429963,226.06300000002375,1702,128,217820,216296
55,0.31657561804271894,232.28099999995902,1702,128,217820,216296
56,0.3163694712857592,230.7970000000205,1702,128,217820,216296
57,0.3176273314761639,228.65599999995902,1702,128,217820,216296
58,0.31495853307734645,230.6720000000205,1702,128,217820,216296
59,0.3149353856424397,231.079000000027,1702,128,217820,216296
60,0.31459954026407977,235.8279999999795,1702,128,217820,216296
61,0.31469730142455826,227.625,1702,128,217820,216296
62,0.3139619660223413,235.98399999999674,1702,128,217820,216296
63,0.3130946827463622,239.34400000004098,1702,128,217820,216296
64,0.3128357731795199,259.0780000000377,1702,128,217820,216296
65,0.3125168112151491,254.079000000027,1702,128,217820,216296
